file_name,layer_name,object_id,object_name,object_type,object_count,object_area_mm2,object_volume_mm3,object_curve_length_mm,bounding_box_width_mm,bounding_box_height_mm,bounding_box_depth_mm,is_closed_curve,is_closed_brep,is_surface,is_mesh,is_curve,notes
階段什器.3dm,鉄板6mm,11111111-1111-1111-1111-111111111111,天板,Surface,1,1000000,0,0,1000,1000,6,false,false,true,false,false,
階段什器.3dm,鉄板6mm,22222222-2222-2222-2222-222222222222,側板,Brep,1,1000000,6000000,0,1000,1000,6,false,true,true,false,false,converted to mm (scale=1000)
階段什器.3dm,架台::角パイプ_50,33333333-3333-3333-3333-333333333333,脚1,Curve,1,0,0,6000,50,50,6000,false,false,false,false,true,
階段什器.3dm,架台::角パイプ_50,44444444-4444-4444-4444-444444444444,脚2,Curve,1,0,0,6000,50,50,6000,false,false,false,false,true,
階段什器.3dm,手すり::丸パイプ手すり,55555555-5555-5555-5555-555555555555,手すり,Curve,1,0,0,12000,42.7,900,12000,false,false,false,false,true,SUS304想定
階段什器.3dm,ソリッド部品,66666666-6666-6666-6666-666666666666,ブラケット,Brep,1,80000,2000000,0,200,100,100,false,true,true,false,false,
階段什器.3dm,ボルト類,77777777-7777-7777-7777-777777777777,M12,Point,1,0,0,0,0,0,0,false,false,false,false,false,
階段什器.3dm,金物::購入ブロック,88888888-8888-8888-8888-888888888888,キャスター,InstanceObject,1,0,0,0,100,100,120,false,false,false,false,false,block instance not expanded
階段什器.3dm,補助線,99999999-9999-9999-9999-999999999999,通り芯,Curve,1,0,0,5000,5000,0,0,false,false,false,false,true,検討用
階段什器.3dm,注釈::寸法,aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,寸法線,Annotation,1,0,0,0,0,0,0,false,false,false,false,false,
